"","plot","species","size","group","method","elev"
"715","W6","Erebia euryale",22,"butterflies","transect walks",1805
"716","W6","Cyaniris semiargus",15.5,"butterflies","transect walks",1805
"717","W6","Erebia aethiops",24,"butterflies","transect walks",1805
"718","W7","Erebia manto",20,"butterflies","transect walks",2017
"719","W7","Erebia pronoe",23,"butterflies","transect walks",2017
"720","W7","Erebia epiphron",18,"butterflies","transect walks",2017
"721","H1","Erebia aethiops",24,"butterflies","transect walks",818
"722","H1","Cyaniris semiargus",15.5,"butterflies","transect walks",818
"723","H2","Polyommatus coridon",16.5,"butterflies","transect walks",985
"724","H2","Erebia aethiops",24,"butterflies","transect walks",985
"725","H2","Colias alfacariensis",23.75,"butterflies","transect walks",985
"726","H2","Argynnis paphia",34.5,"butterflies","transect walks",985
"727","WmB1","Argynnis paphia",34.5,"butterflies","transect walks",962
"728","WmB1","Erebia ligea",26,"butterflies","transect walks",962
"729","WmB1","Araschnia levana",17.5,"butterflies","transect walks",962
"730","WmB2","Argynnis paphia",34.5,"butterflies","transect walks",1139
"731","WmB2","Erebia ligea",26,"butterflies","transect walks",1139
"732","WmB2","Maniola jurtina",24,"butterflies","transect walks",1139
"733","WmB2","Argynnis adippe",29,"butterflies","transect walks",1139
"734","WmB2","Pieris rapae",25,"butterflies","transect walks",1139
"735","HO1","Maniola jurtina",24,"butterflies","transect walks",828
"736","HO2","Argynnis aglaja",28,"butterflies","transect walks",1046
"737","HO4","Argynnis aglaja",28,"butterflies","transect walks",1546
"738","HO4","Erebia aethiops",24,"butterflies","transect walks",1546
"739","HO5","Boloria pales",18.5,"butterflies","transect walks",1821
"740","HO5","Erebia pronoe",23,"butterflies","transect walks",1821
"741","HO5","Erebia pharte",17.5,"butterflies","transect walks",1821
"742","HO5","Argynnis aglaja",28,"butterflies","transect walks",1821
"743","HO5","Erebia manto",20,"butterflies","transect walks",1821
"744","WmB4","Erebia manto",20,"butterflies","transect walks",1654
"745","WmB4","Argynnis aglaja",28,"butterflies","transect walks",1654
"746","WmB4","Pyrgus alveus",15.5,"butterflies","transect walks",1654
"747","WmB4","Colias alfacariensis",23.75,"butterflies","transect walks",1654
"748","WmB4","Erebia euryale",22,"butterflies","transect walks",1654
"749","WmB5","Erebia pronoe",23,"butterflies","transect walks",1812
"750","WmB5","Argynnis aglaja",28,"butterflies","transect walks",1812
"751","W3","Erebia aethiops",24,"butterflies","transect walks",1162
"752","W3","Erebia pronoe",23,"butterflies","transect walks",1162
"753","W3","Colias crocea",26.5,"butterflies","transect walks",1162
"754","H6","Erebia pronoe",23,"butterflies","transect walks",1807
"755","H6","Erebia manto",20,"butterflies","transect walks",1807
"756","H6","Erebia euryale",22,"butterflies","transect walks",1807
"757","H6","Boloria pales",18.5,"butterflies","transect walks",1807
"758","H6","Erebia pharte",17.5,"butterflies","transect walks",1807
"759","H7","Erebia pronoe",23,"butterflies","transect walks",1986
"760","H3","Erebia aethiops",24,"butterflies","transect walks",1106
"761","H3","Hesperia comma",15,"butterflies","transect walks",1106
"762","H3","Polyommatus coridon",16.5,"butterflies","transect walks",1106
"763","H4","Erebia aethiops",24,"butterflies","transect walks",1326
"764","H4","Polyommatus coridon",16.5,"butterflies","transect walks",1326
"765","H4","Pieris rapae",25,"butterflies","transect walks",1326
"766","H4","Argynnis adippe",29,"butterflies","transect walks",1326
"767","H4","Argynnis aglaja",28,"butterflies","transect walks",1326
"768","H4","Pyrgus alveus",15.5,"butterflies","transect walks",1326
"769","H4","Aricia agestis",13.75,"butterflies","transect walks",1326
"770","H4","Araschnia levana",17.5,"butterflies","transect walks",1326
"771","H4","Erebia euryale",22,"butterflies","transect walks",1326
"772","H4","Erebia manto",20,"butterflies","transect walks",1326
"773","H5","Erebia euryale",22,"butterflies","transect walks",1580
"774","H5","Erebia aethiops",24,"butterflies","transect walks",1580
"775","H5","Aricia agestis",13.75,"butterflies","transect walks",1580
"776","H5","Erebia manto",20,"butterflies","transect walks",1580
"777","H5","Argynnis aglaja",28,"butterflies","transect walks",1580
"778","HO3","Erebia ligea",26,"butterflies","transect walks",1332
"779","HO3","Polyommatus coridon",16.5,"butterflies","transect walks",1332
"780","H3","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1106
"781","H3","Syrphus torvus",11,"hoverflies","transect walks",1106
"782","H3","Merodon aureus",8.5,"hoverflies","transect walks",1106
"783","H3","Syrphus ribesii",11,"hoverflies","transect walks",1106
"784","H3","Platycheirus clypeatus",8,"hoverflies","transect walks",1106
"785","H3","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1106
"786","H3","Cheilosia albitarsis",8.5,"hoverflies","transect walks",1106
"787","H3","Platycheirus albimanus",8.5,"hoverflies","transect walks",1106
"788","H3","Eupeodes nitens",10.5,"hoverflies","transect walks",1106
"789","H3","Myathropa florea",12,"hoverflies","transect walks",1106
"790","HO2","Cheilosia loewi",7.5,"hoverflies","transect walks",1046
"791","HO2","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1046
"792","HO2","Cheilosia albitarsis",8.5,"hoverflies","transect walks",1046
"793","HO2","Cheilosia nigripes",8.5,"hoverflies","transect walks",1046
"794","HO2","Cheilosia vicina",7,"hoverflies","transect walks",1046
"795","HO2","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1046
"796","HO3","Cheilosia albitarsis",8.5,"hoverflies","transect walks",1332
"797","HO3","Parasyrphus annulatus",7,"hoverflies","transect walks",1332
"798","HO3","Dasysyrphus venustus",8.5,"hoverflies","transect walks",1332
"799","HO3","Cheilosia rhynchops",9,"hoverflies","transect walks",1332
"800","HO3","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1332
"801","HO3","Cheilosia vicina",7,"hoverflies","transect walks",1332
"802","HO3","Cheilosia gagatea",10.25,"hoverflies","transect walks",1332
"803","HO3","Dasysyrphus pinastri",9,"hoverflies","transect walks",1332
"804","HO3","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",1332
"805","HO3","Cheilosia loewi",7.5,"hoverflies","transect walks",1332
"806","HO3","Volucella bombylans",14,"hoverflies","transect walks",1332
"807","T1","Epistrophe diaphana",11.5,"hoverflies","transect walks",716
"808","T1","Cheilosia albitarsis",8.5,"hoverflies","transect walks",716
"809","T1","Syrphus torvus",11,"hoverflies","transect walks",716
"810","WmB2","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1139
"811","WmB2","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",1139
"812","WmB2","Parasyrphus annulatus",7,"hoverflies","transect walks",1139
"813","WmB2","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1139
"814","WmB2","Dasysyrphus pinastri",9,"hoverflies","transect walks",1139
"815","WmB2","Cheilosia melanura",9.75,"hoverflies","transect walks",1139
"816","WmB2","Cheilosia albitarsis",8.5,"hoverflies","transect walks",1139
"817","WmB2","Cheilosia vernalis agg.",6.5,"hoverflies","transect walks",1139
"818","WmB2","Cheilosia bracusi",11.4,"hoverflies","transect walks",1139
"819","T4","Parasyrphus annulatus",7,"hoverflies","transect walks",644
"820","T4","Chrysotoxum bicinctum",10,"hoverflies","transect walks",644
"821","T4","Sphaerophoria scripta",9.5,"hoverflies","transect walks",644
"822","T4","Cheilosia albitarsis",8.5,"hoverflies","transect walks",644
"823","T4","Syrphus ribesii",11,"hoverflies","transect walks",644
"824","T4","Temnostoma bombylans",14,"hoverflies","transect walks",644
"825","T4","Eristalis tenax",15,"hoverflies","transect walks",644
"826","T4","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",644
"827","T4","Cheilosia chloris",9.5,"hoverflies","transect walks",644
"828","T4","Microdon devius",10.5,"hoverflies","transect walks",644
"829","T4","Eristalis arbustorum",10,"hoverflies","transect walks",644
"830","T4","Eristalis similis",14.5,"hoverflies","transect walks",644
"831","W4","Syrphus torvus",11,"hoverflies","transect walks",1235
"832","W4","Cheilosia vicina",7,"hoverflies","transect walks",1235
"833","W4","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1235
"834","W4","Cheilosia aff. urbana",7,"hoverflies","transect walks",1235
"835","W4","Parasyrphus annulatus",7,"hoverflies","transect walks",1235
"836","W4","Cheilosia melanura",9.75,"hoverflies","transect walks",1235
"837","W5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1446
"838","WmA5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",2034
"839","WmA5","Platycheirus tatricus",8.25,"hoverflies","transect walks",2034
"840","WmB4","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1654
"841","WmB4","Chrysotoxum arcuatum",10.5,"hoverflies","transect walks",1654
"842","WmB4","Melangyna barbifrons",8.5,"hoverflies","transect walks",1654
"843","H1","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",818
"844","H1","Platycheirus albimanus",8.5,"hoverflies","transect walks",818
"845","H1","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",818
"846","H1","Platycheirus europaeus",8,"hoverflies","transect walks",818
"847","H1","Parasyrphus annulatus",7,"hoverflies","transect walks",818
"848","H1","Cheilosia albitarsis",8.5,"hoverflies","transect walks",818
"849","H1","Cheilosia proxima",8,"hoverflies","transect walks",818
"850","H2","Pipizella annulata",7,"hoverflies","transect walks",985
"851","H2","Sphaerophoria scripta",9.5,"hoverflies","transect walks",985
"852","H2","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",985
"853","HO1","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",828
"854","HO1","Microdon devius",10.5,"hoverflies","transect walks",828
"855","HO1","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",828
"856","HO1","Pipizella viduata",6,"hoverflies","transect walks",828
"857","HO1","Sphaerophoria scripta",9.5,"hoverflies","transect walks",828
"858","T5","Scaeva selenitica",13.5,"hoverflies","transect walks",749
"859","T5","Sphaerophoria scripta",9.5,"hoverflies","transect walks",749
"860","T5","Episyrphus balteatus",10,"hoverflies","transect walks",749
"861","T5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",749
"862","T5","Eristalis tenax",15,"hoverflies","transect walks",749
"863","HO4","Syrphus ribesii",11,"hoverflies","transect walks",1546
"864","HO4","Cheilosia pedemontana",7,"hoverflies","transect walks",1546
"865","HO4","Cheilosia lasiopa",9.5,"hoverflies","transect walks",1546
"866","HO4","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1546
"867","HO4","Cheilosia frontalis",7,"hoverflies","transect walks",1546
"868","HO4","Syrphus torvus",11,"hoverflies","transect walks",1546
"869","HO4","Parasyrphus annulatus",7,"hoverflies","transect walks",1546
"870","HO4","Platycheirus albimanus",8.5,"hoverflies","transect walks",1546
"871","W1","Sphaerophoria scripta",9.5,"hoverflies","transect walks",815
"872","W1","Pipizella annulata",7,"hoverflies","transect walks",815
"873","W2","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1016
"874","W2","Eupeodes luniger",11,"hoverflies","transect walks",1016
"875","W2","Merodon rufus",11,"hoverflies","transect walks",1016
"876","W3","Platycheirus albimanus",8.5,"hoverflies","transect walks",1162
"877","W3","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1162
"878","W3","Pipiza noctiluca",7.5,"hoverflies","transect walks",1162
"879","W3","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1162
"880","W3","Parasyrphus annulatus",7,"hoverflies","transect walks",1162
"881","W3","Cheilosia vicina",7,"hoverflies","transect walks",1162
"882","W3","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",1162
"883","W3","Xylota jakutorum",11,"hoverflies","transect walks",1162
"884","W3","Syrphus torvus",11,"hoverflies","transect walks",1162
"885","W3","Pipiza notata",7.5,"hoverflies","transect walks",1162
"886","W3","Syrphus ribesii",11,"hoverflies","transect walks",1162
"887","WmB3","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1418
"888","WmB3","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1418
"889","WmB3","Parasyrphus annulatus",7,"hoverflies","transect walks",1418
"890","WmB3","Eristalis tenax",15,"hoverflies","transect walks",1418
"891","WmB3","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1418
"892","WmA2","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1240
"893","WmA2","Pipizella viduata",6,"hoverflies","transect walks",1240
"894","WmA2","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1240
"895","WmA2","Eristalis tenax",15,"hoverflies","transect walks",1240
"896","WmA3","Parasyrphus annulatus",7,"hoverflies","transect walks",1423
"897","WmA3","Platycheirus albimanus",8.5,"hoverflies","transect walks",1423
"898","WmA3","Meliscaeva auricollis",9,"hoverflies","transect walks",1423
"899","WmA3","Merodon rufus",11,"hoverflies","transect walks",1423
"900","WmA3","Didea alneti",13.5,"hoverflies","transect walks",1423
"901","WmA3","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1423
"902","WmA3","Platycheirus europaeus",8,"hoverflies","transect walks",1423
"903","WmA3","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",1423
"904","WmA3","Eristalis tenax",15,"hoverflies","transect walks",1423
"905","WmA3","Cheilosia albitarsis",8.5,"hoverflies","transect walks",1423
"906","WmA3","Eristalis similis",14.5,"hoverflies","transect walks",1423
"907","WmB1","Sphaerophoria scripta",9.5,"hoverflies","transect walks",962
"908","WmB1","Cheilosia proxima",8,"hoverflies","transect walks",962
"909","WmB1","Pipizella viduata",6,"hoverflies","transect walks",962
"910","WmB1","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",962
"911","WmB1","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",962
"912","WmB1","Syrphus ribesii",11,"hoverflies","transect walks",962
"913","WmB1","Cheilosia albitarsis",8.5,"hoverflies","transect walks",962
"914","WmB1","Parasyrphus lineola",9,"hoverflies","transect walks",962
"915","WmB1","Parasyrphus annulatus",7,"hoverflies","transect walks",962
"916","H4","Cheilosia semifasciata",7,"hoverflies","transect walks",1326
"917","H4","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1326
"918","H4","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1326
"919","H4","Cheilosia vicina",7,"hoverflies","transect walks",1326
"920","H4","Xylota segnis",11.5,"hoverflies","transect walks",1326
"921","H4","Eristalis tenax",15,"hoverflies","transect walks",1326
"922","H4","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1326
"923","H4","Platycheirus manicatus",9.5,"hoverflies","transect walks",1326
"924","H4","Cheilosia rhynchops",9,"hoverflies","transect walks",1326
"925","H4","Pipiza quadrimaculata",6.5,"hoverflies","transect walks",1326
"926","H4","Melanostoma cf. certum",6,"hoverflies","transect walks",1326
"927","H5","Syrphus torvus",11,"hoverflies","transect walks",1580
"928","H5","Parasyrphus relictus",9,"hoverflies","transect walks",1580
"929","H5","Scaeva selenitica",13.5,"hoverflies","transect walks",1580
"930","H5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1580
"931","H5","Sphaerophoria infuscata",7.75,"hoverflies","transect walks",1580
"932","H5","Syrphus ribesii",11,"hoverflies","transect walks",1580
"933","H5","Chrysotoxum arcuatum",10.5,"hoverflies","transect walks",1580
"934","H5","Platycheirus clypeatus",8,"hoverflies","transect walks",1580
"935","H5","Cheilosia pubera",6.5,"hoverflies","transect walks",1580
"936","H5","Parasyrphus macularis",9,"hoverflies","transect walks",1580
"937","H5","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1580
"938","W6","Pipizella annulata",7,"hoverflies","transect walks",1805
"939","W6","Cheilosia frontalis",7,"hoverflies","transect walks",1805
"940","W6","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",1805
"941","W6","Eupeodes latifasciatus",8.5,"hoverflies","transect walks",1805
"942","W6","Cheilosia melanura",9.75,"hoverflies","transect walks",1805
"943","W6","Melanostoma cf. certum",6,"hoverflies","transect walks",1805
"944","W6","Cheilosia aff. urbana",7,"hoverflies","transect walks",1805
"945","W6","Xanthandrus comtus",10,"hoverflies","transect walks",1805
"946","W6","Episyrphus balteatus",10,"hoverflies","transect walks",1805
"947","W6","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1805
"948","W7","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",2017
"949","W7","Cheilosia melanura",9.75,"hoverflies","transect walks",2017
"950","W7","Platycheirus tatricus",8.25,"hoverflies","transect walks",2017
"951","W7","Parasyrphus annulatus",7,"hoverflies","transect walks",2017
"952","W7","Platycheirus melanopsis",8,"hoverflies","transect walks",2017
"953","W7","Sphaerophoria scripta",9.5,"hoverflies","transect walks",2017
"954","W7","Syrphus ribesii",11,"hoverflies","transect walks",2017
"955","W7","Eristalis tenax",15,"hoverflies","transect walks",2017
"956","W7","Helophilus trivittatus",16,"hoverflies","transect walks",2017
"957","W7","Syrphus torvus",11,"hoverflies","transect walks",2017
"958","WmB5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1812
"959","WmB5","Platycheirus tarsalis",9.5,"hoverflies","transect walks",1812
"960","WmB5","Parasyrphus annulatus",7,"hoverflies","transect walks",1812
"961","WmB5","Episyrphus balteatus",10,"hoverflies","transect walks",1812
"962","WmB5","Syrphus torvus",11,"hoverflies","transect walks",1812
"963","WmB5","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1812
"964","WmB5","Parasyrphus relictus",9,"hoverflies","transect walks",1812
"965","WmB5","Cheilosia vicina",7,"hoverflies","transect walks",1812
"966","H6","Platycheirus melanopsis",8,"hoverflies","transect walks",1807
"967","H6","Dasysyrphus pinastri",9,"hoverflies","transect walks",1807
"968","H6","Cheilosia pubera",6.5,"hoverflies","transect walks",1807
"969","H6","Platycheirus tatricus",8.25,"hoverflies","transect walks",1807
"970","H6","Pipizella annulata",7,"hoverflies","transect walks",1807
"971","H6","Xylota triangularis",13.5,"hoverflies","transect walks",1807
"972","H6","Eupeodes corollae",8.5,"hoverflies","transect walks",1807
"973","H6","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1807
"974","H6","Scaeva pyrastri",12.5,"hoverflies","transect walks",1807
"975","H6","Eupeodes luniger",11,"hoverflies","transect walks",1807
"976","H7","Scaeva pyrastri",12.5,"hoverflies","transect walks",1986
"977","H7","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1986
"978","H7","Platycheirus albimanus",8.5,"hoverflies","transect walks",1986
"979","H7","Syrphus torvus",11,"hoverflies","transect walks",1986
"980","H7","Episyrphus balteatus",10,"hoverflies","transect walks",1986
"981","H7","Cheilosia melanura",9.75,"hoverflies","transect walks",1986
"982","H7","Platycheirus melanopsis",8,"hoverflies","transect walks",1986
"983","WmA4","Eupeodes corollae",8.5,"hoverflies","transect walks",1770
"984","WmA4","Parasyrphus annulatus",7,"hoverflies","transect walks",1770
"985","WmA4","Xylota jakutorum",11,"hoverflies","transect walks",1770
"986","WmA4","Platycheirus melanopsis",8,"hoverflies","transect walks",1770
"987","WmA4","Cheilosia melanopa",8,"hoverflies","transect walks",1770
"988","WmA4","Cheilosia vicina",7,"hoverflies","transect walks",1770
"989","WmA4","Xylota triangularis",13.5,"hoverflies","transect walks",1770
"990","WmA4","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1770
"991","WmA4","Cheilosia melanura",9.75,"hoverflies","transect walks",1770
"992","WmA4","Trichopsomyia joratensis",7.5,"hoverflies","transect walks",1770
"993","WmA4","Scaeva pyrastri",12.5,"hoverflies","transect walks",1770
"994","WmA4","Parasyrphus relictus",9,"hoverflies","transect walks",1770
"995","WmA4","Eristalis similis",14.5,"hoverflies","transect walks",1770
"996","WmA4","Syrphus vitripennis",10,"hoverflies","transect walks",1770
"997","T1","Eristalis tenax",15,"hoverflies","transect walks",716
"998","T1","Sphaerophoria scripta",9.5,"hoverflies","transect walks",716
"999","T1","Scaeva pyrastri",12.5,"hoverflies","transect walks",716
"1000","T1","Episyrphus balteatus",10,"hoverflies","transect walks",716
"1001","T1","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",716
"1002","W1","Merodon rufus",11,"hoverflies","transect walks",815
"1003","W1","Syrphus vitripennis",10,"hoverflies","transect walks",815
"1004","W1","Eristalis tenax",15,"hoverflies","transect walks",815
"1005","W1","Episyrphus balteatus",10,"hoverflies","transect walks",815
"1006","W1","Syrphus torvus",11,"hoverflies","transect walks",815
"1007","W1","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",815
"1008","W2","Scaeva pyrastri",12.5,"hoverflies","transect walks",1016
"1009","W2","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1016
"1010","W2","Sphaerophoria estebani",7.25,"hoverflies","transect walks",1016
"1011","W2","Eristalis tenax",15,"hoverflies","transect walks",1016
"1012","W2","Pipizella annulata",7,"hoverflies","transect walks",1016
"1013","W2","Episyrphus balteatus",10,"hoverflies","transect walks",1016
"1014","W5","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1446
"1015","W5","Episyrphus balteatus",10,"hoverflies","transect walks",1446
"1016","W5","Cheilosia melanura",9.75,"hoverflies","transect walks",1446
"1017","W5","Platycheirus melanopsis",8,"hoverflies","transect walks",1446
"1018","W5","Cheilosia aff. urbana",7,"hoverflies","transect walks",1446
"1019","W5","Pipizella annulata",7,"hoverflies","transect walks",1446
"1020","W5","Eupeodes corollae",8.5,"hoverflies","transect walks",1446
"1021","W5","Volucella bombylans",14,"hoverflies","transect walks",1446
"1022","HO5","Cheilosia melanura",9.75,"hoverflies","transect walks",1821
"1023","HO5","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",1821
"1024","HO5","Cheilosia aff. urbana",7,"hoverflies","transect walks",1821
"1025","HO5","Platycheirus melanopsis",8,"hoverflies","transect walks",1821
"1026","HO5","Syrphus torvus",11,"hoverflies","transect walks",1821
"1027","HO5","Eupeodes nitens",10.5,"hoverflies","transect walks",1821
"1028","HO5","Syrphus ribesii",11,"hoverflies","transect walks",1821
"1029","HO5","Platycheirus albimanus",8.5,"hoverflies","transect walks",1821
"1030","HO5","Eupeodes corollae",8.5,"hoverflies","transect walks",1821
"1031","HO5","Scaeva selenitica",13.5,"hoverflies","transect walks",1821
"1032","HO5","Eupeodes luniger",11,"hoverflies","transect walks",1821
"1033","T4","Melanostoma scalare",8,"hoverflies","transect walks",644
"1034","T4","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",644
"1035","T5","Pipizella annulata",7,"hoverflies","transect walks",749
"1036","T5","Melanostoma mellinum agg.",6.5,"hoverflies","transect walks",749
"1037","WmB1","Episyrphus balteatus",10,"hoverflies","transect walks",962
"1038","WmB1","Lapposyrphus lapponicus",10.5,"hoverflies","transect walks",962
"1039","WmB1","Eristalis tenax",15,"hoverflies","transect walks",962
"1040","WmB1","Pipizella annulata",7,"hoverflies","transect walks",962
"1041","WmB1","Eupeodes corollae",8.5,"hoverflies","transect walks",962
"1042","WmB1","Syrphus vitripennis",10,"hoverflies","transect walks",962
"1043","HO2","Episyrphus balteatus",10,"hoverflies","transect walks",1046
"1044","HO2","Platycheirus albimanus",8.5,"hoverflies","transect walks",1046
"1045","HO2","Cheilosia mutabilis",6.5,"hoverflies","transect walks",1046
"1046","HO2","Cheilosia melanura",9.75,"hoverflies","transect walks",1046
"1047","HO2","Platycheirus splendidus",7,"hoverflies","transect walks",1046
"1048","H4","Scaeva selenitica",13.5,"hoverflies","transect walks",1326
"1049","H4","Syrphus ribesii",11,"hoverflies","transect walks",1326
"1050","H4","Parasyrphus relictus",9,"hoverflies","transect walks",1326
"1051","H4","Platycheirus albimanus",8.5,"hoverflies","transect walks",1326
"1052","H4","Episyrphus balteatus",10,"hoverflies","transect walks",1326
"1053","H4","Merodon cinereus",9.5,"hoverflies","transect walks",1326
"1054","H5","Episyrphus balteatus",10,"hoverflies","transect walks",1580
"1055","H5","Parasyrphus annulatus",7,"hoverflies","transect walks",1580
"1056","H5","Cheilosia vicina",7,"hoverflies","transect walks",1580
"1057","H5","Volucella bombylans",14,"hoverflies","transect walks",1580
"1058","H5","Platycheirus albimanus",8.5,"hoverflies","transect walks",1580
"1059","H5","Cheilosia nigripes",8.5,"hoverflies","transect walks",1580
"1060","H5","Cheilosia aff. urbana",7,"hoverflies","transect walks",1580
"1061","H6","Syrphus torvus",11,"hoverflies","transect walks",1807
"1062","H6","Eristalis similis",14.5,"hoverflies","transect walks",1807
"1063","H6","Microdon mutabilis",10.5,"hoverflies","transect walks",1807
"1064","H6","Paragus testaceus",6,"hoverflies","transect walks",1807
"1065","H6","Syrphus vitripennis",10,"hoverflies","transect walks",1807
"1066","H6","Parasyrphus relictus",9,"hoverflies","transect walks",1807
"1067","H6","Episyrphus balteatus",10,"hoverflies","transect walks",1807
"1068","H7","Eupeodes luniger",11,"hoverflies","transect walks",1986
"1069","H7","Eristalis similis",14.5,"hoverflies","transect walks",1986
"1070","H7","Volucella pellucens",15.5,"hoverflies","transect walks",1986
"1071","H7","Eristalis tenax",15,"hoverflies","transect walks",1986
"1072","H7","Platycheirus manicatus",9.5,"hoverflies","transect walks",1986
"1073","WmA3","Episyrphus balteatus",10,"hoverflies","transect walks",1423
"1074","WmA3","Cheilosia canicularis",14,"hoverflies","transect walks",1423
"1075","WmA3","Volucella bombylans",14,"hoverflies","transect walks",1423
"1076","WmA3","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1423
"1077","WmA3","Syrphus ribesii",11,"hoverflies","transect walks",1423
"1078","WmA3","Cheilosia melanura",9.75,"hoverflies","transect walks",1423
"1079","WmB4","Cheilosia melanura",9.75,"hoverflies","transect walks",1654
"1080","WmB4","Volucella bombylans",14,"hoverflies","transect walks",1654
"1081","WmB4","Syrphus vitripennis",10,"hoverflies","transect walks",1654
"1082","WmB4","Episyrphus balteatus",10,"hoverflies","transect walks",1654
"1083","WmB4","Eristalis tenax",15,"hoverflies","transect walks",1654
"1084","H1","Episyrphus balteatus",10,"hoverflies","transect walks",818
"1085","H2","Syrphus vitripennis",10,"hoverflies","transect walks",985
"1086","H2","Eristalis tenax",15,"hoverflies","transect walks",985
"1087","H2","Syrphus ribesii",11,"hoverflies","transect walks",985
"1088","H2","Episyrphus balteatus",10,"hoverflies","transect walks",985
"1089","H2","Merodon rufus",11,"hoverflies","transect walks",985
"1090","H2","Merodon cinereus",9.5,"hoverflies","transect walks",985
"1091","H3","Eristalis similis",14.5,"hoverflies","transect walks",1106
"1092","H3","Eristalis tenax",15,"hoverflies","transect walks",1106
"1093","H3","Episyrphus balteatus",10,"hoverflies","transect walks",1106
"1094","H3","Eupeodes corollae",8.5,"hoverflies","transect walks",1106
"1095","H3","Eristalis arbustorum",10,"hoverflies","transect walks",1106
"1096","H3","Chrysotoxum arcuatum",10.5,"hoverflies","transect walks",1106
"1097","H3","Pipiza noctiluca",7.5,"hoverflies","transect walks",1106
"1098","H3","Eristalis jugorum",13,"hoverflies","transect walks",1106
"1099","H3","Volucella bombylans",14,"hoverflies","transect walks",1106
"1100","WmB2","Episyrphus balteatus",10,"hoverflies","transect walks",1139
"1101","WmB2","Eristalis tenax",15,"hoverflies","transect walks",1139
"1102","WmB2","Chrysotoxum arcuatum",10.5,"hoverflies","transect walks",1139
"1103","WmB2","Pipizella viduata",6,"hoverflies","transect walks",1139
"1104","WmB2","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1139
"1105","WmB2","Platycheirus albimanus",8.5,"hoverflies","transect walks",1139
"1106","WmB2","Cheilosia canicularis",14,"hoverflies","transect walks",1139
"1107","WmB2","Syrphus rectus",8.75,"hoverflies","transect walks",1139
"1108","W3","Sphaerophoria scripta",9.5,"hoverflies","transect walks",1162
"1109","W3","Cheilosia longula",7.5,"hoverflies","transect walks",1162
"1110","W3","Didea fasciata",11.5,"hoverflies","transect walks",1162
"1111","W4","Eupeodes corollae",8.5,"hoverflies","transect walks",1235
